variable,weight,next_lower,next_upper,search_suggestion
YouGov Offset,0,-0.19999999999999998,0,final
Ipsos Offset,0,-0.19999999999999998,0,final
Morning Consult Offset,0,-0.19999999999999998,0,final
Rasmussen Reports/Pulse Opinion Research Offset,0,-0.19999999999999998,0,final
HarrisX Offset,0,-0.19999999999999998,0,final
Gallup Offset,0,-0.19999999999999998,0,final
SurveyMonkey Offset,0,-0.19999999999999998,0,final
Other Pollster Offset,0,-0.19999999999999998,0,final
v,1,0.5,1.5,final
Other Method,0.75,0.5,1,final
date_weight,0.375,0.25,0.5,not final
sample_size,0.5,0.25,0.75,not final
YouGov,1.5,1,2,not final
Ipsos,0.625,0.5,0.75,not final
Morning Consult,0.0625,0,0.125,not final
Rasmussen Reports/Pulse Opinion Research,1,0.75,1.25,not final
HarrisX,0.75,0.625,0.875,final
Gallup,0.25,0.125,0.375,not final
SurveyMonkey,0.5,0.375,0.625,final
Other Pollster,1.25,1,1.5,not final
rv,1.25,1,1.5,not final
lv,0.25,0.125,0.375,not final
a,0.375,0.25,0.5,not final
Online,0.25,0.125,0.375,not final
Live Phone,1.25,1,1.5,not final
IVR/Online,1.25,1,1.5,not final
Unknown,0.0625,0,0.125,final
