model_date,race,p_dem_win,seats,seats_lower,seats_upper
2022-07-01,House,0.0512,186,157,211
2022-07-02,House,0.0512,186,157,211
2022-07-03,House,0.0609,187,159,213
2022-07-04,House,0.0609,187,159,213
2022-07-05,House,0.0678,189,160,214
2022-07-06,House,0.0654,188,160,214
2022-07-07,House,0.0583,187,158,213
2022-07-08,House,0.0583,187,158,213
2022-07-09,House,0.0583,187,158,213
2022-07-10,House,0.0688,189,160,214
2022-07-11,House,0.0862,192,164,216
2022-07-12,House,0.0829,191,164,216
2022-07-13,House,0.0812,191,163,216
2022-07-14,House,0.0738,190,162,215
2022-07-15,House,0.0811,191,164,216
2022-07-16,House,0.0847,192,164,216
2022-07-17,House,0.0894,192,165,217
2022-07-18,House,0.1032,194,166,218
2022-07-19,House,0.1057,194,167,218
2022-07-20,House,0.1038,194,166,218
2022-07-21,House,0.0933,193,166,217
2022-07-22,House,0.0853,192,164,216
2022-07-23,House,0.0853,192,164,216
2022-07-24,House,0.0927,193,165,217
2022-07-25,House,0.0973,193,166,217
2022-07-26,House,0.1034,194,167,218
2022-07-27,House,0.1023,194,167,218
2022-07-28,House,0.0973,194,166,217
2022-07-29,House,0.1019,194,168,218
2022-07-30,House,0.1023,194,168,218
2022-07-31,House,0.1088,195,168,218
2022-08-01,House,0.1268,197,171,220
2022-08-02,House,0.1284,197,172,220
2022-08-03,House,0.1284,197,172,220
2022-08-04,House,0.1294,197,172,220
2022-08-05,House,0.1295,198,172,220
2022-08-06,House,0.1314,198,173,220
2022-08-07,House,0.1388,199,174,221
2022-08-08,House,0.1409,199,174,221
2022-08-09,House,0.147,199,175,221
2022-08-10,House,0.1542,200,175,222
2022-08-11,House,0.1536,200,175,222
2022-08-12,House,0.1615,200,176,222
2022-08-13,House,0.165,201,176,222
2022-08-14,House,0.165,201,176,222.10000000000036
2022-08-15,House,0.1727,201,177,223
2022-08-16,House,0.1709,201,177,223
2022-08-17,House,0.1818,202,177,223
2022-08-18,House,0.1769,202,177,223
2022-08-19,House,0.1794,202,177,223
2022-08-20,House,0.1835,202,177,224
2022-08-21,House,0.1898,202,178,224
2022-08-22,House,0.2085,204,180,225
2022-08-23,House,0.2087,204,180,225
2022-08-24,House,0.2066,203,179,225
2022-08-25,House,0.2042,203,179,225
2022-08-26,House,0.213,204,180,225
2022-08-27,House,0.2155,204,180,226
2022-08-28,House,0.218,204,180,226
2022-08-29,House,0.2263,205,181,226
2022-08-30,House,0.2349,205,181,227
2022-08-31,House,0.2374,205,182,227
2022-09-01,House,0.2331,205,181,227
2022-09-02,House,0.2346,205,181,227
2022-09-03,House,0.2333,205,181,227
2022-09-04,House,0.2346,205,181,227
2022-09-05,House,0.2346,205,181,227
2022-09-06,House,0.2471,206,182,227.10000000000036
2022-09-07,House,0.2471,206,182,227.10000000000036
2022-09-08,House,0.25,206,183,228
